Filename,Case_Bits,Variation_ID,Soil_Er,Soil_Cond,N_Traces
simulation_4spheres_0110_v9,0110,9,3.4239,0.017681,85
simulation_4spheres_0110_v10,0110,10,4.5699,0.001905,85
simulation_4spheres_0110_v11,0110,11,7.3092,0.013259,85
simulation_4spheres_0110_v12,0110,12,6.6599,0.013081,85
simulation_4spheres_0110_v13,0110,13,3.7425,0.001839,85
simulation_4spheres_0110_v14,0110,14,8.6389,0.019918,85
simulation_4spheres_0110_v15,0110,15,8.0056,0.002141,85
simulation_4spheres_0110_v16,0110,16,4.3658,0.014125,85
simulation_4spheres_0110_v17,0110,17,7.6610,0.013441,85
simulation_4spheres_0110_v18,0110,18,4.7447,0.001778,85
simulation_4spheres_0110_v19,0110,19,3.3251,0.019356,85
simulation_4spheres_0110_v20,0110,20,8.6342,0.015798,85
simulation_4spheres_0110_v21,0110,21,7.9879,0.003660,85
simulation_4spheres_0110_v22,0110,22,3.1675,0.015701,85
simulation_4spheres_0110_v23,0110,23,4.3951,0.011533,85
simulation_4spheres_0110_v24,0110,24,7.6644,0.005847,85
simulation_4spheres_0110_v25,0110,25,3.0933,0.007029,85
simulation_4spheres_0110_v26,0110,26,8.6980,0.008273,85
simulation_4spheres_0110_v27,0110,27,6.5674,0.006351,85
simulation_4spheres_0110_v28,0110,28,4.9111,0.003095,85
simulation_4spheres_0110_v29,0110,29,3.9766,0.001776,85
simulation_4spheres_0110_v30,0110,30,3.9585,0.019312,85
simulation_4spheres_0110_v31,0110,31,6.5669,0.003718,85
simulation_4spheres_0110_v32,0110,32,3.3336,0.015371,85
simulation_4spheres_0110_v33,0110,33,3.9905,0.005159,85
simulation_4spheres_0110_v34,0110,34,5.5137,0.015684,85
simulation_4spheres_0110_v35,0110,35,7.7335,0.005725,85
simulation_4spheres_0110_v36,0110,36,5.2886,0.004343,85
simulation_4spheres_0110_v37,0110,37,8.3465,0.018293,85
simulation_4spheres_0110_v38,0110,38,8.6948,0.002546,85
simulation_4spheres_0110_v39,0110,39,8.1659,0.003939,85
simulation_4spheres_0110_v40,0110,40,5.7110,0.016424,85
simulation_4spheres_0110_v41,0110,41,5.9990,0.011385,85
simulation_4spheres_0110_v42,0110,42,5.8943,0.014512,85
simulation_4spheres_0110_v43,0110,43,7.8031,0.008160,85
simulation_4spheres_0110_v44,0110,44,4.8324,0.018433,85
simulation_4spheres_0110_v45,0110,45,4.4083,0.016874,85
simulation_4spheres_0110_v46,0110,46,6.8275,0.013108,85
simulation_4spheres_0110_v47,0110,47,4.3419,0.001393,85
simulation_4spheres_0110_v48,0110,48,5.4457,0.016348,85
simulation_4spheres_0110_v49,0110,49,4.4308,0.009016,85
simulation_4spheres_0111_v0,0111,0,7.0567,0.003596,85
simulation_4spheres_0111_v1,0111,1,6.8827,0.019470,85
simulation_4spheres_0111_v2,0111,2,8.0660,0.008610,85
simulation_4spheres_0111_v3,0111,3,4.6046,0.010676,85
simulation_4spheres_0111_v4,0111,4,5.8393,0.001907,85
simulation_4spheres_0111_v5,0111,5,4.6385,0.006940,85
simulation_4spheres_0111_v6,0111,6,4.1552,0.003877,85
simulation_4spheres_0111_v7,0111,7,4.9002,0.005676,85
simulation_4spheres_0111_v8,0111,8,8.5271,0.015212,85
simulation_4spheres_0111_v9,0111,9,3.0629,0.009636,85
simulation_4spheres_0111_v10,0111,10,4.7610,0.017135,85
simulation_4spheres_0111_v11,0111,11,8.5981,0.013031,85
simulation_4spheres_0111_v12,0111,12,5.5131,0.014800,85
simulation_4spheres_0111_v13,0111,13,4.9992,0.012375,85
simulation_4spheres_0111_v14,0111,14,3.6277,0.019781,85
simulation_4spheres_0111_v15,0111,15,4.8060,0.006116,85
simulation_4spheres_0111_v16,0111,16,7.1945,0.011819,85
simulation_4spheres_0111_v17,0111,17,6.5843,0.014639,85
simulation_4spheres_0111_v18,0111,18,6.0446,0.015906,85
simulation_4spheres_0111_v19,0111,19,4.1845,0.010673,85
simulation_4spheres_0111_v20,0111,20,8.5514,0.008012,85
simulation_4spheres_0111_v21,0111,21,3.9805,0.007699,85
simulation_4spheres_0111_v22,0111,22,4.7782,0.018674,85
simulation_4spheres_0111_v23,0111,23,3.1979,0.001211,85
simulation_4spheres_0111_v24,0111,24,5.2677,0.005193,85
simulation_4spheres_0111_v25,0111,25,7.7831,0.001670,85
simulation_4spheres_0111_v26,0111,26,3.1110,0.005444,85
simulation_4spheres_0111_v27,0111,27,8.7892,0.001124,85
simulation_4spheres_0111_v28,0111,28,7.2694,0.014301,85
simulation_4spheres_0111_v29,0111,29,3.1490,0.015744,85
simulation_4spheres_0111_v30,0111,30,8.1778,0.007429,85
simulation_4spheres_0111_v31,0111,31,3.0275,0.009243,85
simulation_4spheres_0111_v32,0111,32,5.8296,0.001463,85
simulation_4spheres_0111_v33,0111,33,5.7818,0.017023,85
simulation_4spheres_0111_v34,0111,34,7.2993,0.018092,85
simulation_4spheres_0111_v35,0111,35,6.2080,0.013798,85
simulation_4spheres_0111_v36,0111,36,8.7620,0.011627,85
simulation_4spheres_0111_v37,0111,37,4.4753,0.006352,85
simulation_4spheres_0111_v38,0111,38,3.0034,0.017205,85
simulation_4spheres_0111_v39,0111,39,7.3506,0.015954,85
simulation_4spheres_0111_v40,0111,40,5.4200,0.009185,85
simulation_4spheres_0111_v41,0111,41,5.6090,0.010282,85
simulation_4spheres_0111_v42,0111,42,8.7573,0.001748,85
simulation_4spheres_0111_v43,0111,43,7.2316,0.019521,85
simulation_4spheres_0111_v44,0111,44,5.3448,0.008858,85
simulation_4spheres_0111_v45,0111,45,7.3671,0.019567,85
simulation_4spheres_0111_v46,0111,46,6.7830,0.005801,85
simulation_4spheres_0111_v47,0111,47,7.6783,0.004090,85
simulation_4spheres_0111_v48,0111,48,4.9201,0.015760,85
simulation_4spheres_0111_v49,0111,49,5.8407,0.003564,85
simulation_4spheres_1000_v0,1000,0,4.5421,0.014400,85
simulation_4spheres_1000_v1,1000,1,6.6567,0.019083,85
simulation_4spheres_1000_v2,1000,2,4.4489,0.018085,85
simulation_4spheres_1000_v3,1000,3,3.6202,0.005438,85
simulation_4spheres_1000_v4,1000,4,3.6981,0.004574,85
simulation_4spheres_1000_v5,1000,5,4.1906,0.009202,85
simulation_4spheres_1000_v6,1000,6,6.9059,0.012581,85
simulation_4spheres_1000_v7,1000,7,6.8945,0.001108,85
simulation_4spheres_1000_v8,1000,8,8.9631,0.007238,85
simulation_4spheres_1000_v9,1000,9,8.9395,0.013423,85
simulation_4spheres_1000_v10,1000,10,8.5473,0.004221,85
simulation_4spheres_1000_v11,1000,11,6.8794,0.018642,85
simulation_4spheres_1000_v12,1000,12,8.4570,0.002614,85
simulation_4spheres_1000_v13,1000,13,6.6825,0.003287,85
simulation_4spheres_1000_v14,1000,14,6.7867,0.001756,85
simulation_4spheres_1000_v15,1000,15,4.9908,0.011710,85
simulation_4spheres_1000_v16,1000,16,6.6460,0.008452,85
simulation_4spheres_1000_v17,1000,17,7.4538,0.006636,85
simulation_4spheres_1000_v18,1000,18,6.0671,0.002548,85
simulation_4spheres_1000_v19,1000,19,4.3026,0.010620,85
simulation_4spheres_1000_v20,1000,20,4.9290,0.008336,85
simulation_4spheres_1000_v21,1000,21,3.0972,0.019607,85
simulation_4spheres_1000_v22,1000,22,4.6226,0.006128,85
simulation_4spheres_1000_v23,1000,23,4.4249,0.008836,85
simulation_4spheres_1000_v24,1000,24,5.2168,0.010230,85
simulation_4spheres_1000_v25,1000,25,5.5290,0.018109,85
simulation_4spheres_1000_v26,1000,26,3.2481,0.014281,85
simulation_4spheres_1000_v27,1000,27,6.8572,0.009983,85
simulation_4spheres_1000_v28,1000,28,3.2319,0.008535,85
simulation_4spheres_1000_v29,1000,29,6.7656,0.016150,85
simulation_4spheres_1000_v30,1000,30,8.0412,0.010834,85
